AAPL
MSFT
NVDA
GOOGL
GOOG
AMZN
META
BRK-B
TSLA
AVGO
LLY
WMT
JPM
UNH
V
XOM
ORCL
MA
PG
HD
COST
JNJ
ABBV
KO
BAC
NFLX
MRK
CVX
AMD
CRM
TMUS
TMO
PEP
LIN
ADBE
ACN
MCD
CSCO
GE
IBM
DHR
ABT
AXP
WFC
CAT
QCOM
VZ
PM
TXN
BX
NOW
ISRG
DIS
INTU
NEE
AMGN
AMAT
MS
PFE
SPGI
CMCSA
RTX
UBER
T
GS
LOW
UNP
PGR
BKNG
BLK
LMT
SYK
HON
NKE
TJX
ETN
BSX
COP
KKR
ELV
ANET
VRTX
C
MU
SCHW
PLD
UPS
CB
REGN
MDT
ADI
DE
ADP
PANW
SBUX
MMC
AMT
LRCX
BMY
HCA
GILD
KLAC
FI
INTC
SO
MDLZ
CI
SHW
BA
ICE
DUK
ZTS
TT
MO
MCO
CL
EQIX
WM
PLTR
DELL
GD
CTAS
CEG
PH
ABNB
TDG
PYPL
CME
CVS
CMG
APH
WELL
ITW
SNPS
NOC
MMM
AON
MSI
CDNS
FCX
PNC
CARR
ECL
TGT
USB
GEV
MAR
EOG
BDX
CRWD
CSX
FDX
ORLY
APD
MCK
PSA
SPG
RSG
AFL
EMR
DHI
NEM
AJG
NXPI
SLB
ROP
ADSK
FTNT
MET
TFC
COF
HLT
NSC
WMB
O
PSX
AEP
MPC
DLR
URI
TRV
AZO
OKE
BK
SRE
GM
JCI
PCAR
PCG
CCI
MNST
LEN
KDP
GWW
FANG
CPRT
ALL
ROST
KMI
D
PAYX
KMB
FICO
OXY
AIG
STZ
CHTR
AMP
TEL
MSCI
FIS
RCL
LHX
MPWR
CMI
PEG
KVUE
COR
PWR
VLO
PRU
IQV
MCHP
GEHC
F
KHC
A
ACGL
ODFL
NDAQ
HES
OTIS
IDXX
KR
GIS
HWM
FAST
VST
CTVA
EXC
AME
EW
EXR
IR
CNC
YUM
IT
HSY
GLW
DOW
SYY
CTSH
VRSK
CBRE
HUM
EA
DD
LVS
XEL
EFX
BKR
ED
RMD
EL
NUE
DFS
VICI
IRM
HPQ
HIG
GRMN
EIX
LULU
VMC
MLM
XYL
DAL
TRGP
AVB
WAB
EBAY
MTD
TSCO
LYB
ON
CSGP
PPG
ROK
WEC
CDW
AXON
NVR
WTW
PHM
MTB
BRO
EQR
FITB
ADM
AWK
ANSS
BIIB
ERIE
ETR
K
FTV
VLTO
KEYS
TTWO
DXCM
IFF
CAH
FSLR
VTR
DTE
HPE
STT
DOV
GPN
SBAC
MRNA
SW
HAL
CHD
FE
LYV
NTAP
RJF
HST
BR
TYL
WY
DVN
ROL
PPL
SMCI
ES
DECK
TROW
CCL
STE
WDC
AEE
BF-B
STX
HUBB
BLDR
WST
BBY
MKC
GDDY
ZBH
COO
LDOS
TER
EQT
CPAY
PTC
INVH
WRB
ATO
CBOE
WAT
HBAN
RF
CINF
TSN
CMS
ARE
BALL
WBD
TDY
OMC
MOH
CLX
PFG
SYF
ESS
GPC
STLD
DRI
BAX
PKG
EXPE
CNP
ZBRA
MAA
ALGN
HOLX
NRG
LH
UAL
DG
FOXA
FOX
EXPD
VRSN
CFG
ULTA
MAS
NTRS
AVY
LUV
CTRA
JBHT
FDS
HRL
L
DGX
UDR
IP
EG
SWK
APTV
GEN
TXT
AMCR
PODD
J
IEX
PNR
DOC
SWKS
RVTY
KIM
CAG
LNT
KEY
NI
CF
NWSA
NWS
ENPH
AKAM
UHS
SNA
TRMB
DLTR
DPZ
NDSN
MRO
CE
CPB
POOL
AES
EVRG
BXP
VTRS
BG
DVA
JBL
REG
CPT
AOS
EMN
CHRW
SJM
JKHY
FFIV
JNPR
INCY
ALLE
TECH
SOLV
KMX
RL
TAP
IPG
MGM
TFX
EPAM
ALB
CTLT
TPR
WYNN
BEN
LKQ
HII
AIZ
CRL
MHK
HAS
PNW
QRVO
MTCH
FRT
DAY
MKTX
LW
PAYC
GNRC
GL
HSIC
APA
CZR
NCLH
MOS
BWA
FMC
IVZ
WBA
PARA
