Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,116.73750114440918,116.73750114440918,116.62333424886067,0,0,116.05999755859375
2024-08-20,116.2196877002716,116.63598895404947,116.51943274583398,0,0,115.94999694824219
2024-08-21,117.9826568365097,116.89239415761398,116.89404789039645,1,0,119.05000305175781
2024-08-22,118.66953265666962,117.25271211958231,117.3176991546337,0,0,118.94000244140625
2024-08-23,119.63753899931908,117.75859995066776,117.92695130944311,0,0,120.87999725341797
2024-08-26,122.15816411376,118.69560009768061,119.00308627515506,0,0,122.7300033569336
2024-08-27,121.53344919532537,119.39319583081826,119.66808527020717,0,0,121.41000366210938
2024-08-28,118.9834480509162,119.49992803001959,119.6317598717513,0,0,118.02999877929688
2024-08-29,118.99273682199419,119.58695870525686,119.68543483084542,0,0,118.80000305175781
2024-08-30,119.13355469983071,119.68229361566947,119.78521016198847,0,0,119.51000213623047
2024-09-03,116.19896543165669,119.18193049884913,119.06295806530511,0,1,113.95999908447266
2024-09-04,114.31021487852558,118.3629905013014,118.12007149549737,0,0,113.12000274658203
2024-09-05,112.91989871894475,117.36367994093744,117.00552998053446,0,0,111.31999969482422
2024-09-06,111.74213562923251,116.25043430461051,115.86042669471773,0,0,111.0
2024-09-09,112.10606937864213,115.34274497799808,114.91381341736829,0,0,110.73999786376953
2024-09-10,109.87990989912942,114.11168877242393,113.61616640572906,0,0,108.73999786376953
2024-09-11,107.64240875472024,112.59723183674613,112.07652558783954,0,0,108.0999984741211
2024-09-12,109.35200879630793,111.61151946947977,111.2256367266231,0,0,110.54000091552734
2024-09-13,112.11825797614802,111.30246256342247,111.09797594151112,0,0,112.83999633789062
2024-09-16,111.94597005262312,111.01495841051809,110.8039708380935,0,0,111.01000213623047
2024-09-17,113.22454809851615,111.03148735750757,110.98200576651911,0,0,114.48999786376953
2024-09-18,114.92790114734157,111.39903594221414,111.44344358460498,1,0,115.12000274658203
2024-09-19,118.01352536532863,112.34556700027635,112.6194915259954,0,0,120.08999633789062
2024-09-20,118.05369421803351,113.20222841141582,113.60147859892896,0,0,119.83000183105469
2024-09-23,119.9999446567237,114.35003871437443,114.85037437051476,0,0,120.95999908447266
2024-09-24,123.29497049730716,116.01493928556161,116.7046890996161,0,0,124.66999816894531
2024-09-25,123.52811168870181,117.52990779158377,118.16852466708974,0,0,123.33999633789062
2024-09-26,125.38124286751375,119.22496967707822,119.85075558764207,0,0,125.23999786376953
2024-09-27,126.30905943920425,120.89178046041503,121.49457400532015,0,0,125.9800033569336
2024-09-30,125.66351659548832,122.21971637668139,122.77043068574915,0,0,126.08000183105469
2024-10-01,127.47207001573122,123.7255644423839,124.35871649939781,0,0,129.22999572753906
2024-10-02,128.59009780350465,125.24824583497468,125.77982012176939,0,0,127.5999984741211
2024-10-03,126.83348817558655,126.2175400886487,126.69431212683082,0,0,127.54000091552734
2024-10-04,128.9711190210361,127.45937271081364,127.85143320234558,0,0,128.22000122070312
2024-10-07,128.68305997781846,128.46254910519392,128.89460300031334,0,0,130.07000732421875
2024-10-08,126.90934171643303,128.96129119016678,129.2914689136671,0,0,127.02999877929688
2024-10-09,128.23779673559687,129.62232393267598,130.03974853524718,0,0,130.17999267578125
2024-10-10,128.71577069751035,130.25843188179465,130.61676411778387,0,0,128.4600067138672
2024-10-11,129.33507584329254,130.89902976971177,131.26192275921028,0,0,129.86000061035156
2024-10-14,129.0156638562471,131.35836928771107,131.73142569580912,0,0,130.17999267578125
2024-10-15,129.53501975237282,131.82171084137593,132.10556022844878,0,0,128.4600067138672
